VgHLrz_coarse_1,VCu7Vn_fines_sam_1,VVNwsR_fines_stephen_1,VkaFBe_coarse_10,VRVRKY_fines_10,VrMpba_coarse_11,VKLmQi_fines_11,V6sq7w_2_2,Vl6DQ9__2,VvdqZX_1_3,VNXBdU_2_3,V8i0Zc_1_4,Vz9g5t_2_4,Vj8z7o_1_5,VXd4AJ_2_5,VdhDo3_coarse_6,VGbR9l_fines_6,VPIhzz_coarse_7,VzMh2H_fines_7,V13NEd_coarse_8,VzdZfH_fines_8,VI1lQ1_coarse_9,VDcsVY_fines_9
79,13,14,38,53,32,13,11,50,33,41,47,61,12,151,120,48,87,64,22,12,67,2
12,11,27,69,19,107,20,37,32,23,61,13,13,14,42,54,66,63,19,58,46,70,15
114,66,19,120,30,84,37,20,51,42,33,48,15,17,27,66,11,83,10,67,11,32,51
186,15,14,69,61,65,10,79,67,32,31,11,16,62,86,61,31,67,37,71,42,19,10
75,43,22,39,11,15,31,14,17,12,53,18,10,11,50,14,61,122,49,68,27,72,39
51,21,21,31,40,51,13,17,54,43,95,79,35,51,127,41,11,61,10,65,34,64,12
11,12,16,91,22,52,41,62,95,32,10,56,46,54,12,110,11,102,19,67,39,47,11
30,37,11,99,17,42,44,50,12,11,40,32,23,6,62,27,27,67,22,33,10,40,17
38,68,12,33,18,40,37,69,62,32,188,41,47,13,51,35,52,41,30,143,81,77,48
105,43,37,117,17,165,32,12,310,103,64,60,30,12,62,44,14,112,18,63,17,36,32
181,35,12,127,33,92,30,46,90,21,53,45,38,41,17,55,30,69,28,12,16,40,22
53,16,27,37,37,51,16,13,52,46,64,17,26,42,22,100,15,60,30,80,57,56,42
122,33,33,51,16,13,32,18,14,63,92,72,17,14,12,97,11,49,62,11,16,28,46
46,26,15,43,31,12,13,86,43,19,86,47,42,33,38,52,11,57,18,120,31,63,54
91,11,21,32,48,29,47,27,132,12,101,39,27,22,11,92,43,118,40,27,14,67,13
69,15,22,100,42,110,10,54,55,21,109,11,14,16,44,58,16,56,12,68,16,90,11
31,12,101,88,10,42,32,14,63,30,92,65,34,18,19,86,14,59,30,90,12,38,12
22,14,10,103,22,47,27,33,144,33,43,49,10,73,14,148,84,98,27,86,17,51,19
65,31,29,100,17,65,17,32,39,19,250,58,11,11,53,57,50,100,33,30,32,49,57
15,41,31,105,17,96,11,31,103,48,22,32,67,31,31,33,63,57,23,57,28,90,13
10,12,14,60,28,3,17,32,37,14,40,70,52,38,18,63,37,60,18,53,89,32,15
10,12,29,72,23,62,10,16,18,43,66,63,21,68,44,65,16,82,15,103,37,50,47
14,10,19,67,43,86,40,17,38,37,92,88,12,10,132,65,10,131,22,104,33,63,17
96,11,25,55,13,105,23,31,33,17,32,65,46,16,91,15,11,65,15,122,21,55,15
43,23,32,48,12,143,16,16,246,12,46,27,22,68,30,127,11,45,33,0,46,27,12
11,14,20,49,33,18,93,52,47,72,45,6,50,27,28,0,20,83,14,0,58,4,6
0,32,57,0,0,0,0,27,125,47,35,0,0,0,0,0,0,0,0,0,11,0,0
0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
