VlF5Dg_full_1,VHXyP2_full_10,VsXPPv_finer_11,VDqmu8_full_12,VXQ2xc_coarse_13,VFiLgW_finer_13,VTtfxM_coarser_sam_14,VqDxq6_coarser_stephen_14,VF4fmT_finer_sam_14,VE0IWm_finer_stephen_14,V9g9OY_coarse_15,VrEuay_fines_15,VXT9sZ_coarse_16,VGtnEH_fines_16,V8eBDI_full_17,V3cieE_coarse_18,V3RQkd_fines_18,VWo6mR_full_2,VMbB2l_1_3,VMgD1b_2_3,VhjqXE_1_4,VcCtC7_2_4,Vu6fOQ_coarse_5,Vv9WuG_fines_5,VlatQF_coarse_6,VbnIco_fines_6
33,106,117,112,72,56,19,76,28,55,98,125,91,44,58,38,41,32,67,57,114,45,82,38,209,23
12,94,34,39,51,20,65,39,107,61,115,68,100,22,16,63,43,43,32,65,67,49,18,10,99,10
60,203,34,13,123,37,41,56,26,30,67,106,105,111,60,52,49,41,12,27,12,62,59,12,103,60
68,105,150,11,13,40,91,31,103,40,115,24,29,12,45,92,74,114,60,17,148,53,168,49,12,44
23,67,24,62,41,45,73,26,22,13,65,35,51,62,18,81,63,10,66,64,130,22,67,69,83,27
12,112,112,23,43,85,109,68,43,33,162,42,75,23,62,112,42,50,73,28,73,35,71,87,150,27
460,102,109,50,140,67,21,110,29,72,62,52,53,18,41,104,25,168,15,92,19,162,112,10,185,23
10,30,79,57,110,42,83,29,128,48,84,17,71,55,18,31,31,16,38,19,31,47,51,12,28,11
45,112,52,144,88,43,116,46,73,68,43,59,91,41,110,105,110,30,11,13,47,23,60,93,48,15
43,85,142,55,98,39,42,18,42,50,60,54,32,40,43,63,54,63,61,64,196,98,17,33,55,52
80,352,28,15,54,63,132,43,46,40,48,117,84,12,41,74,124,115,143,91,19,107,63,15,38,77
440,57,78,102,54,51,40,54,75,61,100,40,98,55,16,85,63,72,12,12,33,30,42,67,162,17
15,58,128,62,11,140,49,40,11,70,18,52,34,16,52,79,44,11,58,62,65,42,101,18,53,37
44,145,201,43,61,33,15,60,16,13,144,54,53,13,34,63,124,220,63,61,12,12,150,30,53,18
240,87,104,108,63,103,87,67,34,65,42,17,97,20,41,98,47,123,16,13,83,13,88,40,101,64
17,78,48,65,14,42,13,11,55,30,135,84,32,25,70,24,52,15,73,100,27,12,52,62,17,66
93,70,124,85,118,98,113,39,22,62,62,40,70,24,40,225,41,17,28,17,112,66,42,53,95,55
20,21,67,30,93,25,39,60,61,29,83,50,109,62,54,95,57,12,14,16,36,41,46,37,33,17
43,76,76,135,33,82,102,66,63,51,69,35,99,23,70,110,52,90,16,11,107,40,48,18,120,19
119,25,55,18,46,29,54,73,91,10,119,51,86,26,80,102,75,82,15,43,100,56,44,50,63,30
129,56,21,80,14,135,32,55,32,48,101,31,132,37,11,71,53,161,72,61,107,52,100,68,162,63
101,46,43,30,26,63,61,52,82,30,43,37,103,28,35,52,44,14,15,33,19,53,103,13,68,30
53,71,54,37,45,56,34,76,21,45,93,52,86,35,92,89,27,31,12,54,17,12,133,10,205,21
10,235,92,21,94,47,68,13,65,13,162,55,68,72,52,75,45,132,95,37,112,120,88,22,140,15
42,74,145,138,55,43,48,48,42,16,55,58,75,21,37,87,33,22,16,14,67,13,51,53,98,12
33,57,105,40,41,39,27,31,45,78,72,109,100,28,46,71,34,11,1,69,62,106,62,12,87,46
91,64,92,45,32,58,42,73,42,45,64,18,140,16,50,138,34,16,19,11,28,57,62,88,55,87
112,62,54,73,42,70,42,69,54,98,82,27,51,41,33,100,65,436,43,18,83,67,83,66,55,61
142,345,213,61,18,51,50,55,27,102,64,30,140,22,92,146,98,22,11,10,50,107,59,116,205,51
